date,year,month,day,fips,county,state,lat,long,tmax,tmin
1900-06-07,1900,6,7,6055,Napa County,CA,38.5,-122.49999999965232,28.6645,11.3774
1900-06-08,1900,6,8,6055,Napa County,CA,38.5,-122.49999999965232,28.8149,11.444
1900-06-09,1900,6,9,6055,Napa County,CA,38.5,-122.49999999965232,28.9648,11.5084
1900-06-10,1900,6,10,6055,Napa County,CA,38.5,-122.49999999965232,29.1143,11.5707
1900-06-11,1900,6,11,6055,Napa County,CA,38.5,-122.49999999965232,29.2634,11.6307
1900-06-12,1900,6,12,6055,Napa County,CA,38.5,-122.49999999965232,29.4125,11.6886
1900-06-13,1900,6,13,6055,Napa County,CA,38.5,-122.49999999965232,29.5615,11.7445
1900-06-14,1900,6,14,6055,Napa County,CA,38.5,-122.49999999965232,29.7106,11.7982
1900-06-15,1900,6,15,6055,Napa County,CA,38.5,-122.49999999965232,29.86,11.85
1900-06-16,1900,6,16,6055,Napa County,CA,38.5,-122.49999999965232,30.0097,11.8998
1900-06-17,1900,6,17,6055,Napa County,CA,38.5,-122.49999999965232,30.159300000000002,11.9475
1900-06-18,1900,6,18,6055,Napa County,CA,38.5,-122.49999999965232,30.3085,11.9933
1900-06-19,1900,6,19,6055,Napa County,CA,38.5,-122.49999999965232,30.457,12.037
1900-06-20,1900,6,20,6055,Napa County,CA,38.5,-122.49999999965232,30.6042,12.0788
1900-06-21,1900,6,21,6055,Napa County,CA,38.5,-122.49999999965232,30.7499,12.1185
1900-06-22,1900,6,22,6055,Napa County,CA,38.5,-122.49999999965232,30.8936,12.1562
1900-06-23,1900,6,23,6055,Napa County,CA,38.5,-122.49999999965232,31.0349,12.1918
1900-06-24,1900,6,24,6055,Napa County,CA,38.5,-122.49999999965232,31.1735,12.2254
1900-06-25,1900,6,25,6055,Napa County,CA,38.5,-122.49999999965232,31.309,12.257
1900-06-26,1900,6,26,6055,Napa County,CA,38.5,-122.49999999965232,31.4409,12.2865
1900-06-27,1900,6,27,6055,Napa County,CA,38.5,-122.49999999965232,31.569,12.314
1900-06-28,1900,6,28,6055,Napa County,CA,38.5,-122.49999999965232,31.6927,12.3394
1900-06-29,1900,6,29,6055,Napa County,CA,38.5,-122.49999999965232,31.8117,12.3628
1900-06-30,1900,6,30,6055,Napa County,CA,38.5,-122.49999999965232,31.9257,12.384
1900-07-01,1900,7,1,6055,Napa County,CA,38.5,-122.49999999965232,32.0341,12.4032
1900-07-02,1900,7,2,6055,Napa County,CA,38.5,-122.49999999965232,32.1367,12.4203
1900-07-03,1900,7,3,6055,Napa County,CA,38.5,-122.49999999965232,32.2331,12.4353
1900-07-04,1900,7,4,6055,Napa County,CA,38.5,-122.49999999965232,32.3228,12.4482
1900-07-05,1900,7,5,6055,Napa County,CA,38.5,-122.49999999965232,32.4055,12.459
1900-07-06,1900,7,6,6055,Napa County,CA,38.5,-122.49999999965232,32.4808,12.4677
1900-07-07,1900,7,7,6055,Napa County,CA,38.5,-122.49999999965232,32.5482,12.4743
1900-07-08,1900,7,8,6055,Napa County,CA,38.5,-122.49999999965232,32.6075,12.4787
1900-07-09,1900,7,9,6055,Napa County,CA,38.5,-122.49999999965232,32.6582,12.4811
1900-07-10,1900,7,10,6055,Napa County,CA,38.5,-122.49999999965232,32.6999,12.4813
1900-07-11,1900,7,11,6055,Napa County,CA,38.5,-122.49999999965232,32.7322,12.4793
1900-07-12,1900,7,12,6055,Napa County,CA,38.5,-122.49999999965232,32.7548,12.4752
1900-07-13,1900,7,13,6055,Napa County,CA,38.5,-122.49999999965232,32.7672,12.469
1900-07-14,1900,7,14,6055,Napa County,CA,38.5,-122.49999999965232,32.769,12.4606
1900-07-15,1900,7,15,6055,Napa County,CA,38.5,-122.49999999965232,32.76,12.45
1900-07-16,1900,7,16,6055,Napa County,CA,38.5,-122.49999999965232,32.7398,12.4373
1900-07-17,1900,7,17,6055,Napa County,CA,38.5,-122.49999999965232,32.7088,12.4224
1900-07-18,1900,7,18,6055,Napa County,CA,38.5,-122.49999999965232,32.6676,12.4056
1900-07-19,1900,7,19,6055,Napa County,CA,38.5,-122.49999999965232,32.6166,12.3868
1900-07-20,1900,7,20,6055,Napa County,CA,38.5,-122.49999999965232,32.5565,12.3661
1900-07-21,1900,7,21,6055,Napa County,CA,38.5,-122.49999999965232,32.4878,12.3436
1900-07-22,1900,7,22,6055,Napa County,CA,38.5,-122.49999999965232,32.4109,12.3193
1900-07-23,1900,7,23,6055,Napa County,CA,38.5,-122.49999999965232,32.3265,12.2934
1900-07-24,1900,7,24,6055,Napa County,CA,38.5,-122.49999999965232,32.235,12.2659
1900-07-25,1900,7,25,6055,Napa County,CA,38.5,-122.49999999965232,32.1371,12.2368
1900-07-26,1900,7,26,6055,Napa County,CA,38.5,-122.49999999965232,32.0332,12.2063
1900-07-27,1900,7,27,6055,Napa County,CA,38.5,-122.49999999965232,31.9239,12.1744
1900-07-28,1900,7,28,6055,Napa County,CA,38.5,-122.49999999965232,31.8097,12.1412
1900-07-29,1900,7,29,6055,Napa County,CA,38.5,-122.49999999965232,31.6912,12.1068
1900-07-30,1900,7,30,6055,Napa County,CA,38.5,-122.49999999965232,31.5688,12.0711
1900-07-31,1900,7,31,6055,Napa County,CA,38.5,-122.49999999965232,31.4432,12.0344
1900-08-01,1900,8,1,6055,Napa County,CA,38.5,-122.49999999965232,31.3148,11.9967
1900-08-02,1900,8,2,6055,Napa County,CA,38.5,-122.49999999965232,31.1842,11.958
